,,BP,LSTM,GRU,BI-LSTM+GOA,BI-LSTM+CMBO,BI-LSTM+DA,BI-LSTM+EFO,BI-LSTM+IEFO,,
60,BLEU_1,0.736278497,0.721088526,0.717951082,0.729304587,0.747660302,0.730464494,0.715472277,0.7666024,,
60,BLEU_2,0.546621898,0.543192774,0.52874359,0.552615085,0.569184636,0.535661356,0.524069962,0.580125592,,
60,BLEU_3,0.401889187,0.404044018,0.389818787,0.415749466,0.43010586,0.39853336,0.383596205,0.435234037,,
60,BLEU_4,0.168626147,0.191180188,0.184904475,0.216523863,0.219570797,0.184323059,0.162229856,0.262857044,,0.801594275
60,CIDER,0.943562604,1.008401168,0.972574327,1.025613151,1.104700789,1.02750495,0.985283668,1.428904399,,0.632641491
60,ROUGE,0.566986211,0.56809097,0.560680052,0.579301164,0.593766294,0.590782792,0.571537422,0.627480614,,0.494165257
60,METEOR,0.300692813,0.313355765,0.316853172,0.324378693,0.32768933,0.329534281,0.317931417,0.374450239,,0.359410121
70,BLEU_1,0.765718123,0.760693865,0.741588956,0.744769905,0.749262063,0.76665454,0.753410251,0.767157955,,1.571770219
70,BLEU_2,0.571239826,0.568406041,0.555404867,0.548577455,0.554495392,0.586409714,0.562290611,0.580298367,,0.694897087
70,BLEU_3,0.423091187,0.424251397,0.412120598,0.401332542,0.414076703,0.445596556,0.4158333,0.435635497,,0.391400031
70,BLEU_4,0.184072661,0.205078128,0.191003918,0.169967631,0.193342845,0.231085887,0.183643658,0.264499426,,0.801891599
70,CIDER,1.042634887,1.038058742,1.065535099,1.038830571,1.045535925,1.180137494,1.082299505,1.429737227,,0.632779413
70,ROUGE,0.582920834,0.575556458,0.585335004,0.587803767,0.587351733,0.611357543,0.586022853,0.628280439,,0.494165257
70,METEOR,0.314873633,0.308812313,0.325315388,0.321053317,0.326104352,0.347067364,0.325828299,0.374450239,,0.359995353
80,BLEU_1,0.748179214,0.732162117,0.750991519,0.743562076,0.754153983,0.73846921,0.740603647,0.768290329,,1.569920873
80,BLEU_2,0.55651039,0.552624092,0.567218364,0.560216936,0.57051097,0.559332864,0.551010975,0.582830774,,0.694897087
80,BLEU_3,0.400747634,0.416968574,0.430684822,0.422370789,0.430045174,0.416451653,0.413515833,0.439153022,,0.391400031
80,BLEU_4,0.194282236,0.245207906,0.24812001,0.24095125,0.227569618,0.189399228,0.202900243,0.271326814,,0.803141197
80,CIDER,1.000407257,1.071668001,1.071995435,1.046629582,1.079372057,1.043347275,1.052812303,1.463764159,,0.635317314
80,ROUGE,0.581205304,0.587259503,0.598557729,0.586791358,0.594063862,0.595704508,0.585387287,0.634512252,,0.496851439
80,METEOR,0.325128384,0.334377917,0.331427469,0.330134709,0.335996167,0.334265079,0.334625748,0.377954448,,0.363566387
90,BLEU_1,0.74417302,0.745964199,0.739698117,0.736302313,0.744668828,0.766253208,0.749779218,0.768461269,,1.606546633
90,BLEU_2,0.555123086,0.576865573,0.569621174,0.565755012,0.566484416,0.586904731,0.568916043,0.583252769,,0.701335295
90,BLEU_3,0.416990196,0.437543635,0.435478074,0.430480005,0.431040448,0.446123641,0.423164796,0.440171751,,0.3953127
90,BLEU_4,0.218215556,0.245862333,0.246522573,0.24796582,0.231664713,0.268030769,0.207607269,0.276884205,,0.804017358
90,CIDER,1.084370707,1.09613715,1.050883266,1.130499474,1.126825879,1.206877474,1.113235466,1.466189567,,0.636030473
90,ROUGE,0.587558938,0.598129315,0.588810981,0.599697938,0.587456231,0.619120204,0.605108674,0.637189263,,0.497263158
90,METEOR,0.326037357,0.333219223,0.326926918,0.340777353,0.330250744,0.348939688,0.33181801,0.377954448,,0.365808599
,,,,,,,,,,,1.608635067
,,,,,,,,,,,0.702579155
,,,,,,,,,,,0.3953127
