,,BP1
60,BLEU_1,0.6612549
60,BLEU_2,0.48946478400000004
60,BLEU_3,0.345372466
60,BLEU_4,0.124929386
60,CIDER,0.9703286839999999
60,ROUGE,0.521129977
60,METEOR,0.221897248
70,BLEU_1,0.686373397
70,BLEU_2,0.515613523
70,BLEU_3,0.371276742
70,BLEU_4,0.14946618100000003
70,CIDER,1.0868623469999998
70,ROUGE,0.534795266
70,METEOR,0.23250462500000002
80,BLEU_1,0.673811572
80,BLEU_2,0.503285609
80,BLEU_3,0.350190039
80,BLEU_4,0.15797431700000003
80,CIDER,1.024908956
80,ROUGE,0.542063435
80,METEOR,0.250660767
90,BLEU_1,0.665524478
90,BLEU_2,0.49794473699999997
90,BLEU_3,0.363388306
90,BLEU_4,0.19310102699999998
90,CIDER,1.106781357
90,ROUGE,0.538958732
90,METEOR,0.242717128
