,,Faster R-CNN [40],gLSTM [34],LSTM,DBN,BI-GRU,CNN+CMBO,CNN+SSA,CNN+WHO,CNN+SSO,LSTM_1,CNN,CNN + SMO-SCME 
60,BLEU_1,0.7812549,0.759347363,0.760554143,0.771363061,0.785757587,0.77395732,0.753620133,0.78554143,0.782623738,0.7612549,0.66578,0.801594275
60,BLEU_2,0.609464784,0.595822517,0.58606815,0.609190036,0.626549244,0.597297722,0.581875813,0.58606815,0.577184323,0.489464784,0.389857,0.632641491
60,BLEU_3,0.465372466,0.458427201,0.447355323,0.473164495,0.488563756,0.460327921,0.442656305,0.483164495,0.484886148,0.345372466,0.345372466,0.494165257
60,BLEU_4,0.244929386,0.265982149,0.265450233,0.286466395,0.303702158,0.267320241,0.240539609,0.296466395,0.297254902,0.124929386,0.104929386,0.359410121
60,CIDER,1.090328684,1.127016179,1.112837874,1.166605046,1.22696184,1.150796241,1.144201879,1.176605046,1.18300986,1.197032868,1.166605046,1.571770219
60,ROUGE,0.641129977,0.637214899,0.632915956,0.646481508,0.659776907,0.660098603,0.644954671,0.656481508,0.650227832,0.521129977,0.646481508,0.694897087
60,METEOR,0.341897248,0.350720832,0.356117378,0.366437133,0.364883892,0.37419882,0.360344323,0.366437133,0.359231738,0.221897248,0.366437133,0.391400031
70,BLEU_1,0.806373397,0.801972598,0.78981058,0.787214366,0.793650513,0.796848834,0.788163794,0.79981058,0.791236149,0.686373397,0.787214366,0.801891599
70,BLEU_2,0.635613523,0.637742656,0.629136143,0.615093325,0.619323678,0.651068395,0.621376954,0.629136143,0.611928245,0.515613523,0.515613523,0.632779413
70,BLEU_3,0.491276742,0.496949762,0.485537426,0.467778735,0.478054735,0.456137663,0.480219946,0.485537426,0.463364775,0.371276742,0.4710124,0.494165257
70,BLEU_4,0.269466181,0.303593214,0.271320616,0.239418718,0.27901027,0.328832959,0.260403151,0.261320616,0.216006566,0.149466181,0.1023456,0.359995353
70,CIDER,1.206862347,1.200279163,1.232952994,1.214217148,1.196597392,1.365253699,1.24191098,1.232952994,1.147738519,1.086862347,1.03658,1.569920873
70,ROUGE,0.654795266,0.652460198,0.664713246,0.662241014,0.661303339,0.6907821,0.664977149,0.664713246,0.647421978,0.534795266,0.41578,0.694897087
70,METEOR,0.352504625,0.350588316,0.368951565,0.367331232,0.373386093,0.350458637,0.365786096,0.368951565,0.346891694,0.232504625,0.332578,0.391400031
80,BLEU_1,0.793811572,0.773897144,0.792940909,0.786673837,0.799905838,0.781914427,0.78113945,0.782940909,0.783024744,0.673811572,0.632587,0.803141197
80,BLEU_2,0.623285609,0.608881504,0.624868671,0.623778492,0.625808038,0.625042711,0.619658783,0.624868671,0.623016015,0.503285609,0.517452,0.635317314
80,BLEU_3,0.470190039,0.472220018,0.488670708,0.486133981,0.494473932,0.484003938,0.477756687,0.488670708,0.488143881,0.350190039,0.332415,0.496851439
80,BLEU_4,0.277974317,0.319800834,0.338791828,0.31847408,0.297669815,0.243844351,0.284153899,0.338791828,0.353877503,0.157974317,0.132145,0.363566387
80,CIDER,1.144908956,1.199591477,1.243045257,1.18646217,1.24312389,1.212869879,1.222159775,1.243045257,1.256200348,1.24908956,1.385742,1.606546633
80,ROUGE,0.662063435,0.661241638,0.678438093,0.664070678,0.671172199,0.673776343,0.663083534,0.678438093,0.67642774,0.542063435,0.385206344,0.701335295
80,METEOR,0.370660767,0.373176009,0.376123596,0.373435718,0.39220007,0.389202036,0.380230011,0.376123596,0.368773441,0.250660767,0.350660767,0.3953127
90,BLEU_1,0.785524478,0.795597366,0.777576726,0.772502744,0.789548414,0.808077288,0.787745824,0.777576726,0.760632717,0.665524478,0.63524,0.804017358
90,BLEU_2,0.617944737,0.630240016,0.622066082,0.614867908,0.634536748,0.650426917,0.629820243,0.612066082,0.592410246,0.497944737,0.4582163,0.636030473
90,BLEU_3,0.483388306,0.50237397,0.489764809,0.480175948,0.49857444,0.510922394,0.489843981,0.479764809,0.46235281,0.363388306,0.398574,0.557263158
90,BLEU_4,0.313101027,0.345882106,0.340269925,0.331676114,0.32042566,0.357933829,0.279521989,0.330269925,0.294911344,0.193101027,0.121457,0.365808599
90,CIDER,1.226781357,1.254328142,1.178498012,1.265137757,1.293767416,1.398015121,1.302824313,1.168498012,1.06026204,1.106781357,1.1012456,1.608635067
90,ROUGE,0.658958732,0.674041906,0.658596399,0.674483353,0.664034514,0.695424282,0.68620051,0.648596399,0.629912514,0.538958732,0.485218959,0.702579155
90,METEOR,0.362717128,0.387521452,0.372814999,0.384292592,0.377320352,0.331508373,0.374914211,0.362814999,0.33438582,0.242717128,0.32415,0.3953127
